Price,Date copied,Open Price,High,Low,Closing price,Vol.,Change %,Column1, Daily volatility in $ ,Daily volatility in %
"2,830.00","Aug 05, 2019","2,929.25","2,933.50","2,820.50","2,830.00",3.07M,-3.50%,4%, $113.00 ,4%
"2,932.50","Aug 02, 2019","2,950.25","2,961.00","2,913.50","2,932.50",2.45M,-0.66%,1%, $47.50 ,2%
"2,952.00","Aug 01, 2019","2,970.25","3,014.25","2,944.50","2,952.00",2.74M,-1.01%,1%, $69.75 ,2%
"2,982.25","Jul 31, 2019","3,016.25","3,020.75","2,958.00","2,982.25",1.95M,-1.00%,1%, $62.75 ,2%
"3,012.25","Jul 30, 2019","3,022.25","3,027.50","3,001.50","3,012.25",1.18M,-0.31%,0%, $26.00 ,1%
"3,021.75","Jul 29, 2019","3,022.00","3,027.25","3,015.50","3,021.75",823.57K,-0.09%,0%, $11.75 ,0%
"3,024.50","Jul 26, 2019","3,006.50","3,029.50","3,006.00","3,024.50",961.02K,0.60%,1%, $23.50 ,1%
"3,006.50","Jul 25, 2019","3,018.00","3,027.75","2,998.00","3,006.50",1.33M,-0.50%,1%, $29.75 ,1%
"3,021.50","Jul 24, 2019","3,003.00","3,022.00","2,996.00","3,021.50",1.07M,0.45%,0%, $26.00 ,1%
"3,008.00","Jul 23, 2019","2,988.75","3,008.50","2,987.50","3,008.00",1.06M,0.64%,1%, $21.00 ,1%
"2,989.00","Jul 22, 2019","2,974.50","2,993.50","2,972.50","2,989.00",1.10M,0.40%,0%, $21.00 ,1%
"2,977.00","Jul 19, 2019","3,003.75","3,009.75","2,969.50","2,977.00",1.48M,-0.68%,1%, $40.25 ,1%
"2,997.50","Jul 18, 2019","2,980.75","3,005.25","2,974.50","2,997.50",1.35M,0.42%,0%, $30.75 ,1%
"2,985.00","Jul 17, 2019","3,005.75","3,013.00","2,980.50","2,985.00",1.04M,-0.73%,1%, $32.50 ,1%
"3,007.00","Jul 16, 2019","3,017.25","3,021.75","3,004.50","3,007.00",939.81K,-0.34%,0%, $17.25 ,1%
