Date,Price,Open,High,Low,Vol.,Change %,,,,,
"May 24, 2020","2,967.12","2,947.88","2,968.62","2,947.88",-,0.48%,,,,,
"May 22, 2020","2,953.00","2,936.75","2,957.50","2,903.75",1.38M,0.54%,,,,,
"May 21, 2020","2,937.00","2,972.25","2,973.50","2,933.00",1.61M,-1.06%,,,,,
"May 20, 2020","2,968.50","2,913.50","2,975.75","2,908.50",1.53M,1.70%,,,,,
"May 19, 2020","2,918.75","2,945.00","2,976.25","2,914.25",1.57M,-0.99%,,,,,
"May 18, 2020","2,948.00","2,859.75","2,964.75","2,850.00",1.78M,3.57%,,,,,
"May 15, 2020","2,846.50","2,846.25","2,863.50","2,809.50",1.90M,-0.02%,,,,,
"May 14, 2020","2,847.00","2,820.25","2,853.75","2,760.25",2.50M,1.21%,,,,,
"May 13, 2020","2,813.00","2,839.75","2,876.75","2,786.00",2.59M,-1.38%,,,,,
"May 12, 2020","2,852.50","2,919.25","2,939.25","2,838.00",1.82M,-2.40%,,,,,
"May 11, 2020","2,922.75","2,920.75","2,947.00","2,889.75",1.53M,-0.20%,,,,,
"May 08, 2020","2,928.50","2,882.00","2,933.00","2,879.75",1.33M,1.68%,,,,,
"May 07, 2020","2,880.00","2,832.00","2,895.00","2,823.00",1.49M,1.64%,,,,,
"May 06, 2020","2,833.50","2,857.75","2,886.25","2,832.00",1.47M,-0.87%,,,,,
"May 05, 2020","2,858.25","2,827.00","2,889.75","2,824.50",1.47M,1.17%,,,,,
"May 04, 2020","2,825.25","2,789.00","2,835.75","2,771.00",1.51M,0.12%,,,,,
"May 01, 2020","2,821.75","2,871.50","2,879.75","2,811.75",1.65M,-2.78%,,,,,
"Apr 30, 2020","2,902.50","2,956.50","2,965.00","2,878.00",2.03M,-1.31%,,,,,
"Apr 29, 2020","2,941.00","2,870.50","2,959.75","2,860.75",1.74M,2.57%,,,,,
"Apr 28, 2020","2,867.25","2,867.75","2,913.50","2,851.00",1.61M,-0.06%,,,,,
"Apr 27, 2020","2,869.00","2,829.00","2,881.25","2,812.75",1.22M,1.40%,,,,,
"Apr 24, 2020","2,829.50","2,777.00","2,835.00","2,755.25",1.29M,1.75%,,,,,
"Apr 23, 2020","2,780.75","2,790.50","2,836.75","2,772.75",1.70M,-0.28%,,,,,
"Apr 22, 2020","2,788.50","2,737.25","2,808.00","2,717.25",1.37M,2.07%,,,,,
"Apr 21, 2020","2,732.00","2,807.00","2,833.25","2,717.25",1.97M,-2.65%,,,,,
"Apr 20, 2020","2,806.50","2,861.50","2,875.50","2,804.25",1.57M,-2.21%,,,,,
"Apr 17, 2020","2,870.00","2,863.00","2,885.00","2,821.00",1.92M,2.96%,,,,,
"Apr 16, 2020","2,787.50","2,767.75","2,831.50","2,746.00",1.75M,0.45%,,,,,
"Apr 15, 2020","2,775.00","2,843.75","2,845.50","2,751.25",1.83M,-2.39%,,,,,
"Apr 14, 2020","2,843.00","2,760.00","2,846.00","2,752.50",1.72M,3.04%,,,,,
"Apr 13, 2020","2,759.25","2,811.00","2,819.50","2,711.00",1.57M,-1.00%,,,,,
"Apr 10, 2020","2,787.25","2,787.25","2,787.25","2,787.25",-,0.27%,,,,,
"Apr 09, 2020","2,779.75","2,737.75","2,809.50","2,701.00",2.34M,1.64%,,,,,
"Apr 08, 2020","2,735.00","2,640.50","2,752.50","2,620.75",1.92M,3.52%,,,,,
"Apr 07, 2020","2,642.00","2,645.50","2,750.00","2,623.50",2.49M,-0.09%,,,,,
"Apr 06, 2020","2,644.50","2,485.00","2,668.50","2,484.75",2.03M,6.51%,,,,,
"Apr 03, 2020","2,482.75","2,513.75","2,529.50","2,449.00",1.76M,-1.34%,,,,,
"Apr 02, 2020","2,516.50","2,459.00","2,525.00","2,424.75",2.15M,2.80%,,,,,
"Apr 01, 2020","2,448.00","2,562.00","2,562.25","2,434.25",2.09M,-4.74%,,,,,
"Mar 31, 2020","2,569.75","2,613.25","2,635.75","2,555.75",2.25M,-1.59%,,,,,
